NODE,Si
11850,0.0249
11851,0.0248
11852,0.0273
11853,0.033
11854,0.048
11855,0.0614
11856,0.1269
11857,0.2496
11858,0.4048
11859,0.5248
11860,0.4809
11861,0.2906
11862,0.0349
11863,0.0358
11864,0.0471
11865,0.0707
11866,0.072
11867,0.1181
11868,0.0223
11869,0.0162
11870,0.015
11871,0.014
11872,0.0119
11905,0.0433
11906,0.0544
11907,0.0637
11908,0.0768
11909,0.0922
11910,0.2755
11911,0.3042
11912,0.4835
11913,0.4592
11914,0.3924
11915,0.1456
11916,0.0226
11917,0.0269
11918,0.0418
11919,0.0881
11920,0.0889
11921,0.0845
11922,0.0769
11923,0.0534
11924,0.0298
11925,0.0336
11926,0.0125
11927,0.0101
11928,0.0083
11965,0.0262
11966,0.0245
11967,0.0244
11968,0.0269
11969,0.0331
11970,0.0491
11971,0.0617
11972,0.1288
11973,0.2528
11974,0.4098
11975,0.5271
11976,0.4792
11977,0.2878
11978,0.0348
11979,0.0356
11980,0.046
11981,0.0624
11982,0.078
11983,0.1251
11984,0.0224
11985,0.0163
11986,0.0151
11987,0.014
11988,0.0119
12021,0.0433
12022,0.0544
12023,0.0637
12024,0.0768
12025,0.0922
12026,0.2755
12027,0.3042
12028,0.4835
12029,0.4592
12030,0.3924
12031,0.1456
12032,0.0227
12033,0.027
12034,0.0419
12035,0.0892
12036,0.0891
12037,0.0846
12038,0.0767
12039,0.053
12040,0.0303
12041,0.0336
12042,0.0128
12043,0.0102
12044,0.0084
12081,0.0248
12082,0.0176
12083,0.015
12084,0.0388
12085,0.0299
12086,0.0385
12087,0.0483
12088,0.0839
12089,0.1737
12090,0.4971
12091,0.5361
12092,0.4797
12093,0.2871
12094,0.0348
12095,0.0356
12096,0.046
12097,0.0624
12098,0.078
12099,0.1255
12100,0.0226
12101,0.0165
12102,0.0153
12103,0.0142
12104,0.012
12137,0.0431
12138,0.0543
12139,0.0637
12140,0.0768
12141,0.0922
12142,0.2755
12143,0.3042
12144,0.4835
12145,0.4592
12146,0.3924
12147,0.1456
12148,0.0226
12149,0.0269
12150,0.0418
12151,0.0881
12152,0.089
12153,0.0846
12154,0.0769
12155,0.0534
12156,0.0298
12157,0.0336
12158,0.0125
12159,0.0101
12160,0.0083
12197,0.0262
12198,0.0245
12199,0.0244
12200,0.0269
12201,0.0331
12202,0.0491
12203,0.0616
12204,0.1288
12205,0.2526
12206,0.4097
12207,0.5271
12208,0.4794
12209,0.2881
12210,0.0345
12211,0.0337
12212,0.0476
12213,0.1015
12214,0.1067
12215,0.1161
12216,0.0226
12217,0.0164
12218,0.0151
12219,0.0139
12220,0.0118
12253,0.0442
12254,0.0552
12255,0.0643
12256,0.0767
12257,0.0949
12258,0.323
12259,0.3819
12260,0.4298
12261,0.453
12262,0.3927
12263,0.1466
12264,0.0226
12265,0.027
12266,0.0419
12267,0.0882
12268,0.089
12269,0.0846
12270,0.0769
12271,0.0534
12272,0.0298
12273,0.0336
12274,0.0125
12275,0.0101
12276,0.0083
12313,0.0262
12314,0.0246
