NODE ,X [m],Y [m],Z [m]
3807,5.296,-2.530,0.023
3808,6.070,-2.530,0.033
3809,6.844,-2.530,0.045
3810,7.618,-2.530,0.056
3811,8.393,-2.530,0.068
3812,9.167,-2.530,0.079
3813,9.941,-2.530,0.091
3814,10.715,-2.530,0.101
3815,11.490,-2.530,0.112
3816,12.264,-2.530,0.122
3817,13.038,-2.530,0.132
3818,13.813,-2.530,0.143
3819,14.587,-2.530,0.153
3820,15.361,-2.530,0.164
3821,16.135,-2.530,0.172
3822,16.910,-2.530,0.182
3823,17.684,-2.530,0.191
3824,18.458,-2.530,0.201
3825,19.233,-2.530,0.210
3826,20.007,-2.530,0.219
3827,20.781,-2.530,0.227
3828,21.555,-2.530,0.236
3829,22.330,-2.530,0.244
3830,23.104,-2.530,0.252
3831,23.878,-2.530,0.261
3832,24.653,-2.530,0.269
3833,25.427,-2.530,0.277
3834,26.201,-2.530,0.284
3835,26.975,-2.530,0.291
3836,27.750,-2.530,0.298
3838,29.298,-2.530,0.313
3840,30.847,-2.530,0.326
3841,31.621,-2.530,0.332
3842,32.395,-2.530,0.339
3843,33.170,-2.530,0.345
3844,33.944,-2.530,0.351
3845,34.718,-2.530,0.357
3846,35.493,-2.530,0.363
3847,36.267,-2.530,0.368
3848,37.041,-2.530,0.373
3849,37.815,-2.530,0.378
3850,38.590,-2.530,0.383
3851,39.364,-2.530,0.389
3852,40.138,-2.530,0.394
3853,40.913,-2.530,0.397
3854,41.687,-2.530,0.402
3855,42.461,-2.530,0.406
3856,43.235,-2.530,0.410
3857,44.010,-2.530,0.414
3858,44.784,-2.530,0.418
3859,45.558,-2.530,0.421
3860,46.333,-2.530,0.424
3861,47.107,-2.530,0.427
3862,47.881,-2.530,0.430
3863,48.655,-2.530,0.434
3864,49.430,-2.530,0.437
3865,50.204,-2.530,0.440
3866,50.978,-2.530,0.441
3867,51.753,-2.530,0.443
3868,52.527,-2.530,0.445
3869,53.301,-2.530,0.447
3870,54.075,-2.530,0.449
3871,54.850,-2.530,0.451
3872,55.624,-2.530,0.452
3873,56.398,-2.530,0.453
3874,57.173,-2.530,0.454
3875,57.947,-2.530,0.455
3876,58.721,-2.530,0.456
3877,59.495,-2.530,0.457
3878,60.270,-2.530,0.458
3879,61.044,-2.530,0.458
3880,61.818,-2.530,0.458
3881,62.593,-2.530,0.458
3882,63.367,-2.530,0.458
3883,64.141,-2.530,0.457
3884,64.915,-2.530,0.457
3885,65.690,-2.530,0.456
3886,66.464,-2.530,0.455
3887,67.238,-2.530,0.453
3888,68.013,-2.530,0.452
3889,68.787,-2.530,0.451
3890,69.561,-2.530,0.450
3891,70.335,-2.530,0.449
3892,71.110,-2.530,0.446
3893,71.884,-2.530,0.444
